3,0,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
2,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
2,2,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
2,3,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
2,4,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
2,5,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
2,6,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
2,7,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
2,8,""" &amp; you might not get ya bitch back &amp; thats that """
2,9,""" @rhythmixx_ :hobbies include: fighting Mariam""
2,12,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
2,13,""" Murda Gang bitch its Gang Land """
2,14,""" So hoes that smoke are losers ? "" yea ... go on IG"
2,15,""" bad bitches is the only thing that i like """
2,16,""" bitch get up off me """
2,17,""" bitch nigga miss me with it """
2,18,""" bitch plz whatever """
2,19,""" bitch who do you love """
2,20,""" bitches get cut off everyday B """
2,21,""" black bottle &amp; a bad bitch """
2,22,""" broke bitch cant tell me nothing """
2,23,""" cancel that bitch like Nino """
2,24,""" cant you see these hoes wont change """
2,25,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
2,26,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
2,27,""" her pussy lips like Heaven doors "" &#128524;"
2,28,""" hoe what its hitting for """
2,29,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
2,30,""" i need a trippy bitch who fuck on Hennessy """
2,31,""" i spend my money how i want bitch its my business """
2,32,""" i txt my old bitch my new bitch pussy wetter """
